,Rent,Street,Area,Hood,Total-Area,Rooms
0,1650,Estrada Caetano Monteiro,70 m² construídos2 quartos,badu,70,2.0
1,3500,Estrada Caetano Monteiro,90 m² construídos,badu,90,2.8947368421052633
2,1300,391 Bloco 06,82 m² construídos2 quartos,badu,82,2.0
3,1000,Estrada Caetano Monteiro,60 m² construídos2 quartos,badu,60,2.0
4,4500,,400 m² construídos4 quartos,badu,400,4.0
5,4500,,250 m² construídos4 quartos,badu,250,4.0
6,27000,Estrada Francisco Da Cruz Nunes,580 m² construídos,badu,580,2.8947368421052633
7,1450,,60 m² construídos2 quartos,badu,60,2.0
8,12000,Estrada Alcebíades Pinto,540 m² construídos,badu,540,2.8947368421052633
9,8000,,300 m² construídos6 quartos,badu,300,6.0
10,12000,,540 m² construídos,badu,540,2.8947368421052633
11,1237,Rua Hamilton Picanço,143 m² construídos3 quartos,badu,143,3.0
12,1200,"Estrada Caetano Monteiro, 4087",57 m² construídos2 quartos,badu,57,2.0
13,5500,Estrada Monan Grande,320 m² construídos,badu,320,2.8947368421052633
14,1800,,130 m² construídos4 quartos,badu,130,4.0
15,7000,,777 m² construídos5 quartos,badu,777,5.0
16,1500,"Estrada Caetano Monteiro, 3825",60 m² construídos2 quartos,badu,60,2.0
17,1200,"Estrada Caetano Monteiro, 3825",60 m² construídos2 quartos,badu,60,2.0
18,1500,"Estrada Caetano Monteiro, 3825",60 m² construídos2 quartos,badu,60,2.0
19,1500,"Estrada Caetano Monteiro, 3825",60 m² construídos2 quartos,badu,60,2.0
20,1300,"Estrada Caetano Monteiro, 3825",60 m² construídos2 quartos,badu,60,2.0
21,1300,"Estrada Caetano Monteiro, 3825",60 m² construídos2 quartos,badu,60,2.0
22,1600,,40 m² construídos,badu,40,2.8947368421052633
23,3000,,290 m² construídos4 quartos,badu,290,4.0
24,850,"Estrada Caetano Monteiro, 3618",100 m² construídos3 quartos,badu,100,3.0
0,1100,Estrada Velha De Maricá,60 m² construídos2 quartos,baldeador,60,2.0
1,13000,,"2,000 m² construídos",baldeador,2000,3.0
2,1800,,25 m² construídos,baldeador,25,3.0
3,1500,,244 m² construídos4 quartos,baldeador,244,4.0
4,13000,,"2,800 m² construídos",baldeador,2800,3.0
5,13000,"Rodovia Amaral Peixoto, 0","2,000 m² construídos",baldeador,2000,3.0
0,1000,Rua Noronha Santos,122 m² construídos2 quartos,boa-viagem,122,2.0
1,12490,Avenida Almirante Benjamin Sodré,600 m² construídos4 quartos,boa-viagem,600,4.0
2,1500,Rua Domingos Sávio Nogueira Saad,70 m² construídos1 quarto,boa-viagem,70,1.0
3,9810,Avenida Almirante Benjamin Sodré,260 m² construídos4 quartos,boa-viagem,260,4.0
4,5000,Rua Edmundo March,85 m² construídos3 quartos,boa-viagem,85,3.0
5,1600,Rua Roberto Rowley Mendes,70 m² construídos1 quarto,boa-viagem,70,1.0
6,6000,"Rua Antônio Parreiras, 139",420 m² construídos4 quartos,boa-viagem,420,4.0
7,2700,,77 m² construídos2 quartos,boa-viagem,77,2.0
8,1300,,70 m² construídos2 quartos,boa-viagem,70,2.0
9,1700,"Rua Roberto Rowley Mendes, 230",75 m² construídos2 quartos,boa-viagem,75,2.0
10,8000,,325 m² construídos3 quartos,boa-viagem,325,3.0
11,3500,,42 m² construídos1 quarto,boa-viagem,42,1.0
12,1500,"Rua Edmundo March,
                47",65 m² construídos2 quartos,boa-viagem,65,2.0
13,5500,,200 m² construídos4 quartos,boa-viagem,200,4.0
14,1500,,69 m² construídos2 quartos,boa-viagem,69,2.0
15,3200,,85 m² construídos2 quartos,boa-viagem,85,2.0
16,11000,"Avenida Almirante Benjamin Sodré, 374",423 m² construídos4 quartos,boa-viagem,423,4.0
17,1500,"Rua Roberto Rowley Mendes, 215",80 m² construídos2 quartos,boa-viagem,80,2.0
18,1500,"Rua Vera Crispino De Freitas, 157",56 m² construídos1 quarto,boa-viagem,56,1.0
19,5500,Rua Antônio Parreiras,572 m² construídos5 quartos,boa-viagem,572,5.0
20,5800,Rua Roberto Rowley Mendes,102 m² construídos3 quartos,boa-viagem,102,3.0
21,5500,Rua Antônio Parreiras,420 m² construídos4 quartos,boa-viagem,420,4.0
22,1800,Rua Antônio Parreiras,75 m² construídos2 quartos,boa-viagem,75,2.0
23,2200,Rua Antônio Parreiras,145 m² construídos3 quartos,boa-viagem,145,3.0
24,1700,Rua Edmundo March,60 m² construídos3 quartos,boa-viagem,60,3.0
25,1400,,45 m² construídos1 quarto,boa-viagem,45,1.0
26,2200,,160 m² construídos3 quartos,boa-viagem,160,3.0
27,12000,374 401,423 m² construídos4 quartos,boa-viagem,423,4.0
28,1000,Rua Vera Crispino De Freitas,50 m² construídos1 quarto,boa-viagem,50,1.0
29,9000,,500 m² construídos4 quartos,boa-viagem,500,4.0
0,2300,1036 Bloco 5 Cozumel,85 m² construídos2 quartos,camboinhas,85,2.0
1,12000,,400 m² construídos5 quartos,camboinhas,400,5.0
2,2800,1036 Bloco 17 Pucket,104 m² construídos3 quartos,camboinhas,104,3.0
3,2500,,108 m² construídos3 quartos,camboinhas,108,3.0
4,2400,,90 m² construídos2 quartos,camboinhas,90,2.0
5,12000,76 Loc,400 m² construídos5 quartos,camboinhas,400,5.0
6,1600,,45 m² construídos1 quarto,camboinhas,45,1.0
7,1300,,37 m² construídos1 quarto,camboinhas,37,1.0
8,3800,,186 m² construídos3 quartos,camboinhas,186,3.0
9,8000,,950 m² construídos5 quartos,camboinhas,950,5.0
10,2000000,,146 m² construídos4 quartos,camboinhas,146,4.0
11,2100,,186 m² construídos3 quartos,camboinhas,186,3.0
12,2500,Avenida Professor Florestan Fernandes  95,90 m² construídos2 quartos,camboinhas,90,2.0
0,1500,Rua Marquês De Paraná,65 m² construídos2 quartos,centro,65,2.0
1,750,Rua São João,30 m² construídos1 quarto,centro,30,1.0
2,1850,Rua Barão Do Amazonas,60 m² construídos2 quartos,centro,60,2.0
3,1000,Avenida Feliciano Sodré,90 m² construídos2 quartos,centro,90,2.0
4,500,Rua Da Conceição,25 m² construídos1 quarto,centro,25,1.0
5,900,"Rua Da Conceição,
                95",32 m² construídos,centro,32,1.9166666666666667
6,820,"Rua Doutor Borman,
                23",30 m² construídos,centro,30,1.9166666666666667
7,1100,"Rua Da Conceição,
                95",32 m² construídos,centro,32,1.9166666666666667
8,1590,Avenida Visconde Do Rio Branco,70 m² construídos2 quartos,centro,70,2.0
9,850,Rua Visconde De Itaboraí,80 m² construídos2 quartos,centro,80,2.0
10,1700,Avenida Ernani Do Amaral Peixoto,47 m² construídos1 quarto,centro,47,1.0
11,1370,Rua São Pedro,77 m² construídos2 quartos,centro,77,2.0
12,650,Rua Professor Heitor Carrilho,20 m² construídos1 quarto,centro,20,1.0
13,890,Avenida Ernani Do Amaral Peixoto,35 m² construídos1 quarto,centro,35,1.0
14,640,Rua Coronel Gomes Machado,23 m² construídos1 quarto,centro,23,1.0
15,2900,"Rua Doutor Celestino,
                122",45 m² construídos,centro,45,1.9166666666666667
16,1500,Rua Visconde De Sepetiba,70 m² construídos2 quartos,centro,70,2.0
17,1410,Avenida Visconde Do Rio Branco,75 m² construídos2 quartos,centro,75,2.0
18,950,"Rua Da Conceição,
                95",33 m² construídos,centro,33,1.9166666666666667
19,1300,Saldanha Marinho,61 m² construídos2 quartos,centro,61,2.0
20,500,Rua Da Conceição,20 m² construídos1 quarto,centro,20,1.0
21,600,,26 m² construídos,centro,26,1.9166666666666667
22,900,,130 m² construídos,centro,130,1.9166666666666667
23,300,,30 m² construídos,centro,30,1.9166666666666667
24,1500,Rua Visconde De Itaboraí 166,150 m² construídos,centro,150,1.9166666666666667
25,600,,30 m² construídos,centro,30,1.9166666666666667
26,500,,38 m² construídos,centro,38,1.9166666666666667
27,350,,46 m² construídos,centro,46,1.9166666666666667
28,1250,,64 m² construídos,centro,64,1.9166666666666667
29,800,"Rua Visconde De Itaboraí,
                196",52 m² construídos2 quartos,centro,52,2.0
30,1100,,80 m² construídos2 quartos,centro,80,2.0
31,1200,,33 m² construídos,centro,33,1.9166666666666667
32,1700,"Rua Visconde De Sepetiba, 610",130 m² construídos3 quartos,centro,130,3.0
33,5000,"Rua São João, 259",218 m² construídos2 quartos,centro,218,2.0
34,2500,,65 m² construídos2 quartos,centro,65,2.0
35,1600,,68 m² construídos2 quartos,centro,68,2.0
36,2163,Rua Da Conceição,86 m² construídos6 quartos,centro,86,6.0
37,1000,,60 m² construídos2 quartos,centro,60,2.0
38,8000,"Rua Barão Do Amazonas, 415",180 m² construídos,centro,180,1.9166666666666667
39,600,"Avenida Ernani Do Amaral Peixoto, 71",40 m² construídos,centro,40,1.9166666666666667
40,800,,27 m² construídos,centro,27,1.9166666666666667
41,15000,,590 m² construídos,centro,590,1.9166666666666667
42,5500,,216 m² construídos,centro,216,1.9166666666666667
43,3500,,210 m² construídos,centro,210,1.9166666666666667
44,45000,,450 m² construídos,centro,450,1.9166666666666667
45,1300,Rua Quinze De Novembro,27 m² construídos,centro,27,1.9166666666666667
46,12000,Avenida Marquês Do Paraná,550 m² construídos,centro,550,1.9166666666666667
47,1500,,28 m² construídos,centro,28,1.9166666666666667
0,13000,Avenida Marquês Do Paraná,550 m² construídos,centro,550,1.9090909090909092
1,1000,,45 m² construídos,centro,45,1.9090909090909092
2,35000,Rua Almirante Teffe,500 m² construídos,centro,500,1.9090909090909092
3,2200,Rua Visconde De Sepetiba,143 m² construídos,centro,143,1.9090909090909092
4,11800,,550 m² construídos,centro,550,1.9090909090909092
5,1000,"Rua Da Conceição,
                95",32 m² construídos,centro,32,1.9090909090909092
