;Rent;Street;Hood;Total-Area;Rooms
0;2100;Estrada Caetano Monteiro;badu;69.0;3
1;1650;Estrada Caetano Monteiro;badu;70.0;2
2;4800;;badu;300.0;5
3;3500;Estrada Caetano Monteiro;badu;90.0;3
4;1300;391 Bloco 06;badu;82.0;2
5;1000;Estrada Caetano Monteiro;badu;60.0;2
6;4500;;badu;400.0;4
7;4500;;badu;250.0;4
8;27000;Estrada Francisco Da Cruz Nunes;badu;580.0;3
9;1450;;badu;60.0;2
10;12000;Estrada Alcebíades Pinto;badu;540.0;3
11;8000;;badu;300.0;6
12;12000;;badu;540.0;3
13;1237;Rua Hamilton Picanço;badu;143.0;3
14;1200;Estrada Caetano Monteiro, 4087;badu;57.0;2
15;5500;Estrada Monan Grande;badu;320.0;3
16;1800;;badu;130.0;4
17;7000;;badu;777.0;5
18;1500;Estrada Caetano Monteiro, 3825;badu;60.0;2
19;1200;Estrada Caetano Monteiro, 3825;badu;60.0;2
20;1500;Estrada Caetano Monteiro, 3825;badu;60.0;2
21;1500;Estrada Caetano Monteiro, 3825;badu;60.0;2
22;1300;Estrada Caetano Monteiro, 3825;badu;60.0;2
23;1300;Estrada Caetano Monteiro, 3825;badu;60.0;2
24;1600;;badu;40.0;3
25;3000;;badu;290.0;4
26;850;Estrada Caetano Monteiro, 3618;badu;100.0;3
0;598;Rua Doutor March;barreto;64.0;2
1;2600;Rua Doutor Camara Coutinho;barreto;120.0;3
2;1250;Rua Doutor March;barreto;57.0;2
3;1050;Rua General Castrioto;barreto;65.0;3
4;1100;Rua General Castrioto;barreto;300.0;2
5;1800;Rua Doutor Luiz Palmier, 1001;barreto;70.0;3
6;2500;;barreto;84.0;3
7;1500;Rua Doutor Luiz Palmier, 1001;barreto;60.0;2
8;8000;Rua Sá Pinto;barreto;80.0;2
9;800;Rua General Castrioto, 580;barreto;84.0;2
10;1000;Rua Doutor March;barreto;60.0;2
11;1000;Rua Doutor March;barreto;58.0;2
12;1200;Rua Doutor March;barreto;200.0;1
13;8000;Rua Sá Pinto, 47;barreto;43.0;2
14;1200;Rua Doutor Luiz Palmier, 280;barreto;90.0;2
15;1600;;barreto;58.0;2
16;1150;Rua Doutor March, 230;barreto;160.0;2,04
17;2100;Rua General Castrioto;barreto;50.0;2
18;1600;Rua Doutor March;barreto;58.0;2
19;950;230 Bloco C   Loc;barreto;50.0;2,04
20;1050;"Rua Doutor March,
                290";barreto;30.0;1
21;500;Travessa Alberto Coelho;barreto;55.0;2
22;1200;;barreto;68.0;2
23;750;Rua Doutor Luiz Palmier, 344;barreto;55.0;2
24;900;280 Torre 1;barreto;40.0;1
25;700;Rua General Estilac Leal, 82;barreto;60.0;2
26;600;Rua Doutor Luiz Palmier;barreto;0.0;2,04
0;1100;Estrada Velha De Maricá;baldeador;60.0;2
1;13000;;baldeador;2000.0;3
2;1800;;baldeador;25.0;3
3;1500;;baldeador;244.0;4
4;13000;;baldeador;2800.0;3
5;13000;Rodovia Amaral Peixoto, 0;baldeador;2000.0;3
0;1000;Rua Noronha Santos;boa-viagem;122.0;2
1;1500;Rua Domingos Sávio Nogueira Saad;boa-viagem;70.0;1
2;9810;Avenida Almirante Benjamin Sodré;boa-viagem;260.0;4
3;5000;Rua Edmundo March;boa-viagem;85.0;3
4;1600;Rua Roberto Rowley Mendes;boa-viagem;70.0;1
5;6000;Rua Antônio Parreiras, 139;boa-viagem;420.0;4
6;2700;;boa-viagem;77.0;2
