zona,area_quartos,enderecos_lista,aluguel
norte,50 m² construídos2 quartos,"Praça Rafael Mendes De Carvalho, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.150
norte,76 m² construídos3 quartos,"Rua Almirante Noronha, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.480
norte,30 m² construídos1 quarto,"Rua Cássio De Almeida, Vila Guilherme, São Paulo Zona Norte, São Paulo",800
norte,80 m² construídos3 quartos,"Rua Cabo José Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.180
norte,70 m² construídos2 quartos,"Parque Domingos Luís, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.300
norte,45 m² construídos1 quarto,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",990
norte,65 m² construídos2 quartos,"Rua Soldado Brasílio Pinto De Almeida, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",980
norte,55 m² construídos2 quartos,"Rua José Bernardo Pinto, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.350
norte,49 m² construídos2 quartos,"Rua José Ferreira De Castro, Vila Amélia, São Paulo Zona Norte, São Paulo",1.430
norte,70 m² construídos1 quarto,"Rua Coronel Marcílio Franco, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.260
norte,74 m² construídos3 quartos,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.450
norte,50 m² construídos2 quartos,"Avenida Conceição, Jardim Japão, São Paulo Zona Norte, São Paulo",1.200
norte,60 m² construídos2 quartos,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.600
norte,54 m² construídos2 quartos,"Rua João Ventura Batista, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.900
norte,92 m² construídos3 quartos,"Rua Professor Antônio Da Costa, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.750
norte,74 m² construídos3 quartos,"Rua Antônio Ribeiro De Morais, Vila Carbone, São Paulo Zona Norte, São Paulo",1.700
norte,80 m² construídos2 quartos,"Rua Nanuque, Jardim Peri, São Paulo Zona Norte, São Paulo",2.600
norte,57 m² construídos2 quartos,"Rua Santa Leocádia, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.500
norte,89 m² construídos2 quartos,"Rua Roque De Morais, Limão, São Paulo Zona Norte, São Paulo",1.600
norte,52 m² construídos2 quartos,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.600
norte,110 m² construídos3 quartos,"Avenida Águas De São Pedro, Vila Paulicéia, São Paulo Zona Norte, São Paulo",3.300
norte,56 m² construídos2 quartos,"Avenida Boschetti, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.200
norte,53 m² construídos2 quartos,"Avenida Jardim Japão, Jardim Brasil, São Paulo Zona Norte, São Paulo",1.300
norte,53 m² construídos2 quartos,"Rua São Nestor, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.200
norte,60 m² construídos3 quartos,"Rua Domingos José Sapienza, Vila Amália, São Paulo Zona Norte, São Paulo",1.800
norte,59 m² construídos3 quartos,"Rua Elza Guimarães, Vila Amália, São Paulo Zona Norte, São Paulo",1.670
